scenario,experiment,run,period,inflation,inflation_target,unemployment_rate,mean_indexation_strategy,mean_substitution_strategy,var_indexation_strategy,var_substitution_strategy
1,1,8,150,0.01973187795732975,0.02,0.0,0.9786406436935348,0.658832354706801,0.02878312270146817,0.10060980117003182
1,1,8,200,0.018911301867169647,0.02,0.0,0.9422691569248335,0.6818840910748136,0.03226777503324515,0.11165084146148883
1,1,8,250,0.019067891125720524,0.02,0.0,0.9479092141736061,0.675922222713984,0.0280229165483645,0.10351603103167664
1,1,8,300,0.018980375793237525,0.02,0.0,0.9413099866370903,0.7047170404340898,0.029425655477788352,0.09961084477403982
1,1,8,350,0.019716943444867747,0.02,0.0,0.9808756464498927,0.7326907676966157,0.034648934164072685,0.136387593474173
1,1,8,400,0.01871149291836342,0.02,0.0,0.9332680640518911,0.794892194071275,0.031957500305049694,0.09810778026868412
1,1,8,450,0.019648775046410973,0.02,0.0,0.9825118603740753,0.7954767702421214,0.03379455872488483,0.08896687038167522
1,1,8,500,0.018915787079665212,0.02,0.0,0.9449389192158463,0.766776819915839,0.030849993002379995,0.10804750126708035
1,1,8,550,0.018853075071429613,0.02,0.0,0.9440283478806107,0.844938316593398,0.03272276210338462,0.10299817869749861
1,1,8,600,0.020209212636835786,0.02,0.0,1.0087664315885536,0.8816515157262852,0.03438920153735384,0.1284610555814608
1,1,8,650,0.0206229756094739,0.02,0.0,1.0348608983572412,0.9527677583720606,0.03887740190402565,0.10983436737931913
1,1,8,700,0.019913169739609375,0.02,0.0,0.9950368247182618,0.9291569203052191,0.028176550951351725,0.10976394216724092
1,1,8,750,0.020090772947854375,0.02,0.0,1.008997291571226,0.8388356594457905,0.03387914454435719,0.11980881493763706
1,1,8,800,0.020626753465422035,0.02,0.0,1.021664568639847,0.8129095900618734,0.030001819592650837,0.09888448469768525
1,1,9,100,0.020314522396959495,0.02,0.0,1.0079865193570472,0.5107556951797412,0.0293747823919308,0.10695999819856972
1,1,9,150,0.02119396630192317,0.02,0.0,1.0505811060006183,0.5754908463620119,0.03068738931154749,0.10169023085659955
1,1,9,200,0.03145245652399964,0.02,0.0030816237408560028,1.0564597096422323,0.6752593255420697,0.029317386644993608,0.09848635359133523
1,1,9,250,0.0218671183362039,0.02,0.0,1.090712079580279,0.6162226604817023,0.0317019485381712,0.11552110279910037
1,1,9,300,0.011587670309750839,0.02,0.008054022888705504,1.0822293994606356,0.5950850934644503,0.02674181082825343,0.11534948544891815
1,1,9,350,0.02244355061217661,0.02,0.0,1.0888012366449207,0.6199332742064031,0.032477947846946444,0.10197801900625511
1,1,9,400,0.021346318918872724,0.02,0.0,1.065545293054478,0.5843154616671464,0.033902194493497184,0.11022400963503551
1,1,9,450,0.021570445229578638,0.02,0.0,1.0660238325705012,0.5202584146395207,0.03609646860739796,0.10559955090621527
1,1,9,500,0.015087646519636976,0.02,0.31483742457353425,1.0897853777883983,0.6455417304674245,0.02884052461559093,0.12557918323928366
1,1,9,550,0.016483663697187227,0.02,0.5854724848914084,1.1227703063379226,0.6675103092912524,0.037387388386005874,0.10358419986984456
1,1,9,600,0.01514573933023371,0.02,0.7492083383638551,1.0282818542383136,0.6172366760584678,0.03040425918638377,0.1104338790727235
1,1,9,650,0.015742354543052266,0.02,0.8482695231226283,1.0512084564691608,0.5149591264763151,0.035440195135930344,0.10775587125906874
1,1,9,700,0.014476513413811405,0.02,0.9082021409195185,0.9738592194053811,0.5446052905132105,0.03529849479510788,0.1173762559255003
1,1,9,750,0.013763776493633844,0.02,0.944461738306072,0.9031615336621246,0.6840603712511468,0.020113265278195014,0.11461565538953593
1,1,9,800,0.011942022530133241,0.02,0.9663990147169014,0.8516995405720269,0.6503734492426966,0.02063044077866975,0.07852746128787118
1,1,10,100,0.020601206376533895,0.02,0.0,1.0212661861063204,0.5649301298101832,0.03702739000281749,0.09880875787294395
1,1,10,150,0.020617017230851412,0.02,0.0,1.0306845721261986,0.6431607175991662,0.02930623696278247,0.11414891135800224
1,1,10,200,0.020221526778116578,0.02,0.0,1.002448851866343,0.5823065787186212,0.0346076779359139,0.1086757114864167
1,1,10,250,0.020956037373384796,0.02,0.0,1.0445143823546255,0.5562436864376613,0.027659118489400378,0.10850174456732939
1,1,10,300,0.021090686843668143,0.02,0.0,1.0474743746490607,0.6535503984593282,0.03812935716681666,0.09759357449289632
1,1,10,350,0.012575486626317633,0.02,0.06815497178875728,1.038442308349135,0.7324372125793934,0.032818143556953845,0.11327210520227574
1,1,10,400,0.014667147364571774,0.02,0.4362281043002495,1.0408535794658846,0.8210693356115278,0.027762233683705607,0.09942039061871609
1,1,10,450,0.01530097140368946,0.02,0.6589145826200203,1.0216243394197932,0.9006245844454956,0.027237849676309673,0.10610082159512499
1,1,10,500,0.014169475519844921,0.02,0.7936412530729735,0.9531128323395271,0.7949922416868024,0.032159187723134836,0.10047412533910084
1,1,10,550,0.011822800235157279,0.02,0.8751517061022496,0.84376434971789,0.6884230147473788,0.04712098600284084,0.10871539908342763
1,1,10,600,0.011664601460539643,0.02,0.9244660247200907,0.8246310143065415,0.4300411218792875,0.035721496165023854,0.1118732463050872
